CardImageURLs:	
UE/A1_-_Strategy_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A1_-_Strategy_UE.jpg
Per/A2_-_Advanced_Specimen_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A2_-_Advanced_Specimen_Per.jpg
Per/A2_-_Ascension_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A2_-_Ascension_Per.jpg
PoM/A2_-_Cyber_Mage_Implant_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A2_-_Cyber_Mage_Implant_PoM.jpg
PoM/A2_-_Evolving_Terrain_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A2_-_Evolving_Terrain_PoM.jpg
PE/A2_-_Hand-Held_Weapon_PE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PE/A2_-_Hand-Held_Weapon_PE.jpg
UE/A2_-_Hand-Held_Weapon_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A2_-_Hand-Held_Weapon_UE.jpg
NE/A2_-_Logic_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A2_-_Logic_NE.jpg
UE/A2_-_Logic_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A2_-_Logic_UE.jpg
Per/A2_-_Methane_Atmosphere_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A2_-_Methane_Atmosphere_Per.jpg
PoM/A2_-_Opposite_Extension_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A2_-_Opposite_Extension_PoM.jpg
TG/A2_-_Premonition_TG.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/TG/A2_-_Premonition_TG.jpg
Pro/A2_-_Scientific_Knowledge_Pro1.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pro/A2_-_Scientific_Knowledge_Pro1.jpg
PE/A2_-_Slick_Bargainer_PE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PE/A2_-_Slick_Bargainer_PE.jpg
UE/A2_-_Slick_Bargainer_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A2_-_Slick_Bargainer_UE.jpg
CC/A2_-_Speaking_Part_1-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A2_-_Speaking_Part_1-4_CC.jpg
CC/A2_-_Speaking_Part_2-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A2_-_Speaking_Part_2-4_CC.jpg
CC/A2_-_Speaking_Part_3-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A2_-_Speaking_Part_3-4_CC.jpg
CC/A2_-_Speaking_Part_4-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A2_-_Speaking_Part_4-4_CC.jpg
TG/A2_-_Temporal_Shifter_TG.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/TG/A2_-_Temporal_Shifter_TG.jpg
Pro/A3_-_Adaptive_Programming_Pro5.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pro/A3_-_Adaptive_Programming_Pro5.jpg
CC/A3_-_Admirals_Rear_1-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A3_-_Admirals_Rear_1-4_CC.jpg
CC/A3_-_Admirals_Rear_2-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A3_-_Admirals_Rear_2-4_CC.jpg
CC/A3_-_Admirals_Rear_3-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A3_-_Admirals_Rear_3-4_CC.jpg
CC/A3_-_Admirals_Rear_4-4_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A3_-_Admirals_Rear_4-4_CC.jpg
Per/A3_-_Alien_Love_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A3_-_Alien_Love_Per.jpg
PE/A3_-_Automaton_PE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PE/A3_-_Automaton_PE.jpg
UE/A3_-_Automaton_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A3_-_Automaton_UE.jpg
Pir/A3_-_Covert_Operations_Pir.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pir/A3_-_Covert_Operations_Pir.jpg
NE/A3_-_Deviant_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A3_-_Deviant_NE.jpg
AT/A3_-_Drone_Clydon_AT.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/AT/A3_-_Drone_Clydon_AT.jpg
GI/A3_-_Eclipse_Position_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A3_-_Eclipse_Position_GI.jpg
Pro/A3_-_Emergency_Medical_Technician_Pro1.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pro/A3_-_Emergency_Medical_Technician_Pro1.jpg
Per/A3_-_Indirigan_Tattoo_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A3_-_Indirigan_Tattoo_Per.jpg
Per/A3_-_Insurrection_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A3_-_Insurrection_Per.jpg
UE/A3_-_Landing_Officer_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A3_-_Landing_Officer_UE.jpg
TG/A3_-_Mirror_Skinned_Phaser_Eel_TG.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/TG/A3_-_Mirror_Skinned_Phaser_Eel_TG.jpg
Pro/A3_-_Pilot_Background_Pro1.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pro/A3_-_Pilot_Background_Pro1.jpg
GI/A3_-_Primitive_Society_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A3_-_Primitive_Society_GI.jpg
GI/A3_-_Sneak_Attack_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A3_-_Sneak_Attack_GI.jpg
Per/A3_-_Solar_Eclipse_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A3_-_Solar_Eclipse_Per.jpg
PoM/A3_-_Star_Walker_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A3_-_Star_Walker_PoM.jpg
PoM/A3_-_Techno-Psy_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A3_-_Techno-Psy_PoM.jpg
Per/A3_-_Terrestrial_Overgrowth_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A3_-_Terrestrial_Overgrowth_Per.jpg
PE/A3_-_Tri-Millennia_Molting_PE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PE/A3_-_Tri-Millennia_Molting_PE.jpg
UE/A3_-_Tri-Millennia_Molting_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A3_-_Tri-Millennia_Molting_UE.jpg
Pir/A3_-_Undercover_Agent_Pir.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pir/A3_-_Undercover_Agent_Pir.jpg
NE/A4_-_Artifact_-_War_Medal_of_Yorl_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A4_-_Artifact_-_War_Medal_of_Yorl_NE.jpg
NE/A4_-_Assault_Rifle_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A4_-_Assault_Rifle_NE.jpg
NE/A4_-_Bionic_Enhancement_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A4_-_Bionic_Enhancement_NE.jpg
CC/A4_-_Chakans_Hat_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A4_-_Chakans_Hat_CC.jpg
NE/A4_-_Demolition_Expertise_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A4_-_Demolition_Expertise_NE.jpg
PoM/A4_-_Derranged_Psy_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A4_-_Derranged_Psy_PoM.jpg
AT/A4_-_Executive_Position_AT.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/AT/A4_-_Executive_Position_AT.jpg
NE/A4_-_Genetic_Mutation_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A4_-_Genetic_Mutation_NE.jpg
CC/A4_-_Holographic_Mime_CC.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/CC/A4_-_Holographic_Mime_CC.jpg
GI/A4_-_Hostile_Environ_Automaton_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A4_-_Hostile_Environ_Automaton_GI.jpg
PE/A4_-_Hot_Nobelium_PE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PE/A4_-_Hot_Nobelium_PE.jpg
UE/A4_-_Hot_Nobelium_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A4_-_Hot_Nobelium_UE.jpg
AT/A4_-_Mechanization_AT.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/AT/A4_-_Mechanization_AT.jpg
PoM/A4_-_Mind_Guard_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A4_-_Mind_Guard_PoM.jpg
UE/A4_-_Mind_Guard_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A4_-_Mind_Guard_UE.jpg
GI/A4_-_Officer_Training_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A4_-_Officer_Training_GI.jpg
Per/A4_-_Perfect_Specimen_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A4_-_Perfect_Specimen_Per.jpg
Pir/A4_-_Pirates_Hook_Pir.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pir/A4_-_Pirates_Hook_Pir.jpg
Pir/A4_-_Planescape_Pir.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pir/A4_-_Planescape_Pir.jpg
GI/A4_-_Planet_Rise_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A4_-_Planet_Rise_GI.jpg
PoM/A4_-_Scroll_Of_Viskaras_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A4_-_Scroll_Of_Viskaras_PoM.jpg
Per/A4_-_Secret_Agent_Alien_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A4_-_Secret_Agent_Alien_Per.jpg
GI/A4_-_Sneak_Attack_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A4_-_Sneak_Attack_GI.jpg
GI/A4_-_Solar_Flare_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A4_-_Solar_Flare_GI.jpg
AT/A4_-_Thick_Shelled_Crab_AT.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/AT/A4_-_Thick_Shelled_Crab_AT.jpg
GI/A4_-_Tranquility_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A4_-_Tranquility_GI.jpg
Pir/A4_-_Utopia_Pir.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pir/A4_-_Utopia_Pir.jpg
Pir/A4_-_Walk_The_Plank_Pir.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pir/A4_-_Walk_The_Plank_Pir.jpg
GI/A4_-_War_Effort_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A4_-_War_Effort_GI.jpg
NE/A5_-_Anarchist_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A5_-_Anarchist_NE.jpg
UE/A5_-_Anarchist_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A5_-_Anarchist_UE.jpg
PE/A5_-_Ancient_Molting_PE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PE/A5_-_Ancient_Molting_PE.jpg
UE/A5_-_Ancient_Molting_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A5_-_Ancient_Molting_UE.jpg
TG/A5_-_Aurora_Borealis_TG.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/TG/A5_-_Aurora_Borealis_TG.jpg
UE/A5_-_Aurora_Borealis_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A5_-_Aurora_Borealis_UE.jpg
NE/A5_-_Battle_Suit_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A5_-_Battle_Suit_NE.jpg
UE/A5_-_Battle_Suit_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A5_-_Battle_Suit_UE.jpg
AT/A5_-_Blood_Clydon_AT.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/AT/A5_-_Blood_Clydon_AT.jpg
Pro/A5_-_Communications_Training_Pro1.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pro/A5_-_Communications_Training_Pro1.jpg
Per/A5_-_Corporate_Gold_Card_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A5_-_Corporate_Gold_Card_Per.jpg
GI/A5_-_Eclipse_Position_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A5_-_Eclipse_Position_GI.jpg
Pro/A5_-_Enhanced_Robotics_Pro5.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pro/A5_-_Enhanced_Robotics_Pro5.jpg
GI/A5_-_Fire_Breathing_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A5_-_Fire_Breathing_GI.jpg
Per/A5_-_Genetic_Variant_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A5_-_Genetic_Variant_Per.jpg
PE/A5_-_Greater_Automaton_PE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PE/A5_-_Greater_Automaton_PE.jpg
UE/A5_-_Greater_Automaton_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A5_-_Greater_Automaton_UE.jpg
Per/A5_-_Im_a_Persona_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A5_-_Im_a_Persona_Per.jpg
PoM/A5_-_Mental_Inspiration_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A5_-_Mental_Inspiration_PoM.jpg
UE/A5_-_Mental_Inspiration_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A5_-_Mental_Inspiration_UE.jpg
NE/A5_-_Mind_Mold_Symbionts_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A5_-_Mind_Mold_Symbionts_NE.jpg
UE/A5_-_Mind_Mold_Symbionts_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A5_-_Mind_Mold_Symbionts_UE.jpg
TG/A5_-_Monster_Halt_TG.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/TG/A5_-_Monster_Halt_TG.jpg
Pir/A5_-_Peace_Mission_Pir.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pir/A5_-_Peace_Mission_Pir.jpg
PoM/A5_-_Psy_Seduction_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A5_-_Psy_Seduction_PoM.jpg
PoM/A5_-_Psy_Training_PoM.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PoM/A5_-_Psy_Training_PoM.jpg
Per/A5_-_Resources_Management_-_Personnel_Department_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A5_-_Resources_Management_-_Personnel_Department_Per.jpg
GI/A5_-_Solar_Corona_1of2_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A5_-_Solar_Corona_1of2_GI.jpg
GI/A5_-_Solar_Corona_2of2_GI.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/GI/A5_-_Solar_Corona_2of2_GI.jpg
TG/A5_-_Temporal_Comprehension_TG.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/TG/A5_-_Temporal_Comprehension_TG.jpg
Per/A5-5_-_Time_Knights_Scepter_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A5-5_-_Time_Knights_Scepter_Per.jpg
Pro/A5_-_Wizards_Ring_Pro5.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pro/A5_-_Wizards_Ring_Pro5.jpg
Per/A6_-_Breeder_Per.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Per/A6_-_Breeder_Per.jpg
PE/A6_-_Captains_Bluff_PE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/PE/A6_-_Captains_Bluff_PE.jpg
UE/A6_-_Captains_Bluff_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A6_-_Captains_Bluff_UE.jpg
NE/A6_-_Double_Agent_NE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/NE/A6_-_Double_Agent_NE.jpg
UE/A6_-_Double_Agent_UE.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/UE/A6_-_Double_Agent_UE.jpg
Pro/A6_-_Dragon_Marksman_Pro4.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pro/A6_-_Dragon_Marksman_Pro4.jpg
Pir/A6_-_Dragon_Rider_Pir.jpg	https://raw.githubusercontent.com/ericbsmith42/LackeyCCG-GalacticEmpires/main/low/sets/setimages/Pir/A6_-_Dragon_Rider_Pir.jpg
