Name	Set	ImageFile	Rarity	Errata 	Type/ST	Title	Reaction	Type	Alt Type	ST	Time ST	Empire	Card tags
A1 Steak Sauce [1/4] (CC)	CC	A1_-_Steak_Sauce_1-4_CC	V		A1	Steak Sauce		A		1		Orgon SpaceDragon 	[CC] Veryrare Cards LatestPrint Unique NotABG MinorEmpire AbilityMonster CCdupe artRandyAsplund-Faith Orgon SpaceDragon 
A1 Steak Sauce [2/4] (CC)	CC	A1_-_Steak_Sauce_2-4_CC	V		A1	Steak Sauce		A		1		Orgon SpaceDragon 	[CC] Veryrare Cards LatestPrint Dupe NotABG MinorEmpire AbilityMonster CCdupe artRandyAsplund-Faith Orgon SpaceDragon 
A1 Steak Sauce [3/4] (CC)	CC	A1_-_Steak_Sauce_3-4_CC	V		A1	Steak Sauce		A		1		Orgon SpaceDragon 	[CC] Veryrare Cards LatestPrint Dupe NotABG MinorEmpire AbilityMonster CCdupe artRandyAsplund-Faith Orgon SpaceDragon 
A1 Steak Sauce [4/4] (CC)	CC	A1_-_Steak_Sauce_4-4_CC	V		A1	Steak Sauce		A		1		Orgon SpaceDragon 	[CC] Veryrare Cards LatestPrint Dupe NotABG MinorEmpire AbilityMonster CCdupe artRandyAsplund-Faith Orgon SpaceDragon 
A1 Strategy (NE)	NE	A1_-_Strategy_NE	U		A1	Strategy		A		1		Orgon SpaceDragon 	[NE] Uncommon Cards Reprinted Unique NotABG PropPlaycard Nonempire MinorEmpire AbilityCrew AbilityDragon 05_CommandCostssss artDouglasShuler Orgon SpaceDragon 
A1 Strategy (UE)	UE	A1_-_Strategy_UE	C0		A1	Strategy		A		1		Orgon SpaceDragon 	[UE] Common0 Cards LatestPrint Unique NotABG PropPlaycard Nonempire MinorEmpire AbilityCrew AbilityDragon 05_CommandCostssss artDouglasShuler Orgon SpaceDragon 
A2 Advanced Specimen (Per)	Per	A2_-_Advanced_Specimen_Per	U		A2	Advanced Specimen		A		2		 	[Per] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityMonster artRandyAsplund-Faith  
A2 Ascension (Per)	Per	A2_-_Ascension_Per	U		A2	Ascension		A		2		 	[Per] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityCrew artScottWerner  
A2 Cyber Mage Implant (PoM)	PoM	A2_-_Cyber_Mage_Implant_PoM	R		A2	Cyber Mage Implant		A		2		 	[PoM] Rare Cards LatestPrint Unique NotABG PropDrawcard PropPlaycard Nonempire AbilityCrew artRalphPecchiaJr. PropCyberMage 
A2 Evolving Terrain (PoM)	PoM	A2_-_Evolving_Terrain_PoM	V		A2	Evolving Terrain		A		2		 	[PoM] Veryrare Cards LatestPrint Unique NotABG Nonempire AbilityTerrain artSeanSmith  
A2 Hand-Held Weapon (PE)	PE	A2_-_Hand-Held_Weapon_PE	U		A2	Hand-Held Weapon		A		2		 	[PE] Uncommon Cards Reprinted Unique NotABG Nonempire PropBoarding AbilityCrew artLawrenceAllenWilliams  
A2 Hand-Held Weapon (UE)	UE	A2_-_Hand-Held_Weapon_UE	U0		A2	Hand-Held Weapon		A		2		 	[UE] Uncommon0 Cards LatestPrint Unique NotABG Nonempire PropBoarding AbilityCrew artLawrenceAllenWilliams  
A2 Logic (NE)	NE	A2_-_Logic_NE	C		A2	Logic		A		2		Orgon SpaceDragon 	[NE] Common Cards Reprinted Unique NotABG Nonempire MinorEmpire AbilityCrew AbilityDragon 02_ResearchPoints artJohnD.Matson Orgon SpaceDragon 
A2 Logic (UE)	UE	A2_-_Logic_UE	C0		A2	Logic		A		2		Orgon SpaceDragon 	[UE] Common0 Cards LatestPrint Unique NotABG Nonempire MinorEmpire AbilityCrew AbilityDragon 02_ResearchPoints artJohnD.Matson Orgon SpaceDragon 
A2 Methane Atmosphere (Per)	Per	A2_-_Methane_Atmosphere_Per	U		A2	Methane Atmosphere		A		2		 	[Per] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityTerrain AbilityLocation artGeorgeT.HenneJr.  
A2 Opposite Extension (PoM)	PoM	A2_-_Opposite_Extension_PoM	U		A2	Opposite Extension		A		2		Psycanti Visonic 	[PoM] Uncommon Cards LatestPrint Unique NotABG MajorEmpire AbilityPsy artPaulProfHerbert Psycanti Visonic 
A2 Premonition (TG)	TG	A2_-_Premonition_TG	U		R/A2	Premonition	R/	A		2		 	[TG] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityCrew artLawrenceAllenWilliams  
A2 Scientific Knowledge (Pro)	Pro1	A2_-_Scientific_Knowledge_Pro1	Pro1		A2	Scientific Knowledge		A		2		Orgon SpaceDragon 	[Pro1] Cards LatestPrint Unique NotABG Nonempire MinorEmpire distVenturaMagazine AbilityCrew AbilityDragon 01_ResearchPoint artEdwardP.BeardJr. Orgon SpaceDragon 
A2 Slick Bargainer (PE)	PE	A2_-_Slick_Bargainer_PE	V1		A2	Slick Bargainer		A		2		 	[PE] Veryrare1 Cards Reprinted Unique NotABG PropResourceHoser Nonempire AbilityCrew artTedBeargeon  
A2 Slick Bargainer (UE)	UE	A2_-_Slick_Bargainer_UE	V0		A2	Slick Bargainer		A		2		 	[UE] Veryrare0 Cards LatestPrint Unique NotABG PropResourceHoser Nonempire AbilityCrew artTedBeargeon  
A2 Speaking Part [1/4] (CC)	CC	A2_-_Speaking_Part_1-4_CC	V		R/A2	Speaking Part	R/	A		2		 	[CC] Veryrare Cards LatestPrint Unique NotABG Nonempire AbilityCrew CCdupe artRobertA.Kraus  
A2 Speaking Part [2/4] (CC)	CC	A2_-_Speaking_Part_2-4_CC	V		R/A2	Speaking Part	R/	A		2		 	[CC] Veryrare Cards LatestPrint Dupe NotABG Nonempire AbilityCrew CCdupe artRobertA.Kraus  
A2 Speaking Part [3/4] (CC)	CC	A2_-_Speaking_Part_3-4_CC	V		R/A2	Speaking Part	R/	A		2		 	[CC] Veryrare Cards LatestPrint Dupe NotABG Nonempire AbilityCrew CCdupe artRobertA.Kraus  
A2 Speaking Part [4/4] (CC)	CC	A2_-_Speaking_Part_4-4_CC	V		R/A2	Speaking Part	R/	A		2		 	[CC] Veryrare Cards LatestPrint Dupe NotABG Nonempire AbilityCrew CCdupe artRobertA.Kraus  
A2 Temporal Shifter (TG)	TG	A2_-_Temporal_Shifter_TG	U		A2	Temporal Shifter		A		2		 	[TG] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityCrew artLubov  
A3 Adaptive Programming (Pro)	Pro5	A3_-_Adaptive_Programming_Pro5	Pro5		R/A3	Adaptive Programming	R/	A		3		BattleBird 	[Pro5] Cards LatestPrint Unique NotABG Nonempire distSilverEagleWargameSupplies artGeorgeT.HenneJr. BattleBird 
A3 Admiral's Rear [1/4] (CC)	CC	A3_-_Admirals_Rear_1-4_CC	V		A3	Admiral's Rear		A		3		 	[CC] Veryrare Cards LatestPrint Unique NotABG Nonempire AbilityCrew CCdupe artRobertA.Kraus  
A3 Admiral's Rear [2/4] (CC)	CC	A3_-_Admirals_Rear_2-4_CC	V		A3	Admiral's Rear		A		3		 	[CC] Veryrare Cards LatestPrint Dupe NotABG Nonempire AbilityCrew CCdupe artRobertA.Kraus  
A3 Admiral's Rear [3/4] (CC)	CC	A3_-_Admirals_Rear_3-4_CC	V		A3	Admiral's Rear		A		3		 	[CC] Veryrare Cards LatestPrint Dupe NotABG Nonempire AbilityCrew CCdupe artRobertA.Kraus  
A3 Admiral's Rear [4/4] (CC)	CC	A3_-_Admirals_Rear_4-4_CC	V		A3	Admiral's Rear		A		3		 	[CC] Veryrare Cards LatestPrint Dupe NotABG Nonempire AbilityCrew CCdupe artRobertA.Kraus  
A3 Alien Love (Per)	Per	A3_-_Alien_Love_Per	U		A3	Alien Love		A		3		 	[Per] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityCrew artScottWerner  
A3 Automaton (PE)	PE	A3_-_Automaton_PE	R		A3	Automaton		A		3		 	[PE] Rare Cards Reprinted Unique NotABG Nonempire Automaton AbilityCrew artClineA.Siegenthaler  
A3 Automaton (UE)	UE	A3_-_Automaton_UE	R0		A3	Automaton		A		3		 	[UE] Rare0 Cards LatestPrint Unique NotABG Nonempire Automaton AbilityCrew artClineA.Siegenthaler  
A3 Covert Operations (Pir)	Pir	A3_-_Covert_Operations_Pir	U		A3	Covert Operations		A		3		 	[Pir] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityLocation artMichaelCarroll  
A3 Deviant (NE)	NE	A3_-_Deviant_NE	C		A3	Deviant		A		3		 	[NE] Common Cards LatestPrint Unique NotABG Nonempire AbilityCrew artDarrylElliott  
A3 Drone Clydon (AT)	AT	A3_-_Drone_Clydon_AT	U		A3	Drone Clydon		A		3		Clydon 	[AT] Uncommon Cards LatestPrint Unique NotABG MajorEmpire AbilityCrew artDouglasChaffee Clydon 
A3 Eclipse Position (GI)	GI	A3_-_Eclipse_Position_GI	V0		A3	Eclipse Position		A		3		 	[GI] Veryrare0 Cards LatestPrint Unique NotABG Nonempire AbilityLocation artArisMultimediaInc.  
A3 Emergency Medical Technician (Pro)	Pro1	A3_-_Emergency_Medical_Technician_Pro1	Pro1		R/A3	Emergency Medical Technician	R/	A		3		 	[Pro1] Cards LatestPrint Unique NotABG Nonempire PropDoctorScience distCantripMagazine AbilityCrew artSusanVanCamp  
A3 Indirigan Tattoo (Per)	Per	A3_-_Indirigan_Tattoo_Per	V		R/A3	Indirigan Tattoo	R/	A		3		Indirigans IndiriganCards 	[Per] Veryrare Cards LatestPrint Unique NotABG MinorEmpire AbilityCrew artSigmundFrye Indirigans IndiriganCards 
A3 Insurrection (Per)	Per	A3_-_Insurrection_Per	U		A3	Insurrection		A		3		 	[Per] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityCrew artLissanneLake  
A3 Landing Officer (UE)	UE	A3_-_Landing_Officer_UE	U0		A3	Landing Officer		A		3		 	[UE] Uncommon0 Cards LatestPrint Unique NotABG Nonempire PropBoarding AbilityCrew artJohnHolland  
A3 Mirror Skinned Phaser Eel (TG)	TG	A3_-_Mirror_Skinned_Phaser_Eel_TG	U		A3	Mirror Skinned Phaser Eel		A		3		 	[TG] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityMonster artBruceJensen  
A3 Pilot Background (Pro)	Pro1	A3_-_Pilot_Background_Pro1	Pro1		A3	Pilot Background		A		3		 	[Pro1] Cards LatestPrint Unique NotABG Nonempire distPyramidMagazine AbilityCrew artRonRousselleII PropShuttle 
A3 Primitive Society (GI)	GI	A3_-_Primitive_Society_GI	U0		A3	Primitive Society		A		3		 	[GI] Uncommon0 Cards LatestPrint Unique NotABG Nonempire AbilityLocation artjael  
A3 Sneak Attack (GI)	GI	A3_-_Sneak_Attack_GI	V0		R/A3	Sneak Attack	R/	A		3		 	[GI] Veryrare0 Cards LatestPrint Unique NotABG Nonempire AbilityMonster artRobertA.Kraus  
A3 Solar Eclipse (Per)	Per	A3_-_Solar_Eclipse_Per	V		A3	Solar Eclipse		A		3		 	[Per] Veryrare Cards LatestPrint Unique NotABG PropDrawcard PropPlaycard Nonempire AbilityTerrain artC.HenrySchulte  
A3 Star Walker (PoM)	PoM	A3_-_Star_Walker_PoM	U	Errata 	A3	Star Walker		A		3		Psycanti Visonic 	[PoM] Uncommon Cards LatestPrint Unique NotABG MajorEmpire InvertColor AbilityPsy artMarkPoole Errata Psycanti Visonic 
A3 Techno-Psy (PoM)	PoM	A3_-_Techno-Psy_PoM	U		A3	Techno-Psy		A		3		Psycanti Visonic 	[PoM] Uncommon Cards LatestPrint Unique NotABG MajorEmpire AbilityCrew artMarkPoole Psycanti Visonic 
A3 Terrestrial Overgrowth (Per)	Per	A3_-_Terrestrial_Overgrowth_Per	U		A3	Terrestrial Overgrowth		A		3		 	[Per] Uncommon Cards LatestPrint Unique NotABG PropResourceHoser Nonempire AbilityTerrain artC.HenrySchulte  
A3 Tri-Millennia Molting (PE)	PE	A3_-_Tri-Millennia_Molting_PE	R	Errata 	A3	Tri-Millennia Molting		A		3		Orgon SpaceDragon 	[PE] Rare Cards Reprinted Unique NotABG MinorEmpire AbilityDragon artRonRousselleII Errata Orgon SpaceDragon 
A3 Tri-Millennia Molting (UE)	UE	A3_-_Tri-Millennia_Molting_UE	R4	Errata 	A3	Tri-Millennia Molting		A		3		Orgon SpaceDragon 	[UE] Rare4 Cards LatestPrint Unique NotABG MinorEmpire AbilityDragon artRonRousselleII Errata Orgon SpaceDragon 
A3 Undercover Agent (Pir)	Pir	A3_-_Undercover_Agent_Pir	U		R/A3	Undercover Agent	R/	A		3		 	[Pir] Uncommon Cards LatestPrint Unique NotABG ShipClassSpyship Nonempire AbilityCrew 01_ResearchPoint artMuttStudios  
A4 Artifact - War Medal of Yorl (NE)	NE	A4_-_Artifact_-_War_Medal_of_Yorl_NE	U		A4	Artifact - War Medal of Yorl		A		4		Clydon  	[NE] Uncommon Cards LatestPrint Unique NotABG MajorEmpire AbilityCrew 01_CommandPoint artAprilLee Clydon PropArtifact 
A4 Assault Rifle (NE)	NE	A4_-_Assault_Rifle_NE	U		A4	Assault Rifle		A		4		 	[NE] Uncommon Cards LatestPrint Unique NotABG Nonempire PropBoarding AbilityCrew artDouglasShuler  
A4 Bionic Enhancement (NE)	NE	A4_-_Bionic_Enhancement_NE	C		A4	Bionic Enhancement		A		4		Orgon SpaceDragon 	[NE] Common Cards LatestPrint Unique NotABG Nonempire MinorEmpire PropBoarding AbilityCrew AbilityDragon AbilityMonster artBenPeck Orgon SpaceDragon 
A4 Chakan's Hat (CC)	CC	A4_-_Chakans_Hat_CC	U		A4	Chakan's Hat		A		4		 	[CC] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityCrew artRobertA.Kraus PropChakan 
A4 Demolition Expertise (NE)	NE	A4_-_Demolition_Expertise_NE	U		A4	Demolition Expertise		A		4		 	[NE] Uncommon Cards LatestPrint Unique NotABG Nonempire PropBoarding AbilityCrew artRonRousselleII  
A4 Derranged Psy (PoM)	PoM	A4_-_Derranged_Psy_PoM	U		A4	Derranged Psy		A		4		Psycanti Visonic 	[PoM] Uncommon Cards LatestPrint Unique NotABG MajorEmpire AbilityPsy artNivard Psycanti Visonic 
A4 Executive Position (AT)	AT	A4_-_Executive_Position_AT	U		A4	Executive Position		A		4		Corporate 	[AT] Uncommon Cards LatestPrint Unique NotABG MajorEmpire AbilityCrew 01_CommandPoint artLubov Corporate 
A4 Genetic Mutation (NE)	NE	A4_-_Genetic_Mutation_NE	C		R/A4	Genetic Mutation	R/	A		4		Orgon SpaceDragon 	[NE] Common Cards LatestPrint Unique NotABG PropRemoveFromPlay Nonempire MinorEmpire AbilityCrew AbilityDragon AbilityMonster artSusanVanCamp Orgon SpaceDragon 
A4 Holographic Mime (CC)	CC	A4_-_Holographic_Mime_CC	U		R/A4	Holographic Mime	R/	A		4		 	[CC] Uncommon Cards LatestPrint Unique NotABG PropMime Nonempire AbilityCrew artRobertA.Kraus  
A4 Hostile Environ Automaton (GI)	GI	A4_-_Hostile_Environ_Automaton_GI	U0		A4	Hostile Environ Automaton		A		4		 	[GI] Uncommon0 Cards LatestPrint Unique NotABG Nonempire Automaton AbilityCrew artAlanClark  
A4 Hot Nobelium (PE)	PE	A4_-_Hot_Nobelium_PE	R		A4	Hot Nobelium		A		4		SpaceDragon 	[PE] Rare Cards Reprinted Unique NotABG MinorEmpire AbilityDragon artPaulProfHerbert SpaceDragon 
A4 Hot Nobelium (UE)	UE	A4_-_Hot_Nobelium_UE	R0		A4	Hot Nobelium		A		4		SpaceDragon 	[UE] Rare0 Cards LatestPrint Unique NotABG MinorEmpire AbilityDragon artPaulProfHerbert SpaceDragon 
A4 Mechanization (AT)	AT	A4_-_Mechanization_AT	U		A4	Mechanization		A		4		Mechad 	[AT] Uncommon Cards LatestPrint Unique NotABG MajorEmpire AbilityCrew artTimAdams Mechad 
A4 Mind Guard (PoM)	PoM	A4_-_Mind_Guard_PoM	U		R/A4	Mind Guard	R/	A		4		Psycanti Visonic 	[PoM] Uncommon Cards Reprinted Unique NotABG MajorEmpire PropAnti AbilityCrew artRalphPecchiaJr.* Psycanti Visonic 
A4 Mind Guard (UE)	UE	A4_-_Mind_Guard_UE	U0		R/A4	Mind Guard	R/	A		4		Psycanti Visonic 	[UE] Uncommon0 Cards LatestPrint Unique NotABG MajorEmpire PropAnti AbilityCrew artRalphPecchiaJr.* Psycanti Visonic 
A4 Officer Training (GI)	GI	A4_-_Officer_Training_GI	V0		A4	Officer Training		A		4		 	[GI] Veryrare0 Cards LatestPrint Unique NotABG Nonempire AbilityCrew artAaronWilliams  
A4 Perfect Specimen (Per)	Per	A4_-_Perfect_Specimen_Per	V		A4	Perfect Specimen		A		4		 	[Per] Veryrare Cards LatestPrint Unique NotABG Nonempire AbilityMonster artRandyAsplund-Faith  
A4 Pirate's Hook (Pir)	Pir	A4_-_Pirates_Hook_Pir	V		R/A4	Pirate's Hook	R/	A		4		 	[Pir] Veryrare Cards LatestPrint Unique NotABG PropPirate Nonempire PropBoarding AbilityCrew artBobWesson  
A4 Planescape (Pir)	Pir	A4_-_Planescape_Pir	U		A4	Planescape		A		4		 	[Pir] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityTerrain artElvisMcMaad  
A4 Planet Rise (GI)	GI	A4_-_Planet_Rise_GI	U0		A4	Planet Rise		A		4		 	[GI] Uncommon0 Cards LatestPrint Unique NotABG PropDrawcard PropPlaycard Nonempire AbilityTerrain artArisMultimediaInc.  
A4 Scroll Of Viskaras (PoM)	PoM	A4_-_Scroll_Of_Viskaras_PoM	U		R/A4	Scroll Of Viskaras	R/	A		4		Visonic 	[PoM] Uncommon Cards LatestPrint Unique NotABG MajorEmpire AbilityPsy artDouglasChaffee Visonic 
A4 Secret Agent Alien (Per)	Per	A4_-_Secret_Agent_Alien_Per	V		R/A4	Secret Agent Alien	R/	A		4		 	[Per] Veryrare Cards LatestPrint Unique NotABG Nonempire AbilityCrew artPatMorrissey  
A4 Sneak Attack (GI)	GI	A4_-_Sneak_Attack_GI	V0		R/A4	Sneak Attack	R/	A		4		 	[GI] Veryrare0 Cards LatestPrint Unique NotABG Nonempire AbilityMonster artRobertA.Kraus  
A4 Solar Flare (GI)	GI	A4_-_Solar_Flare_GI	U0		A4	Solar Flare		A		4		 	[GI] Uncommon0 Cards LatestPrint Unique NotABG PropResourceHoser Nonempire AbilityTerrain artArisMultimediaInc.  
A4 Thick Shelled Crab (AT)	AT	A4_-_Thick_Shelled_Crab_AT	U		R/A4	Thick Shelled Crab	R/	A		4		Krebiz 	[AT] Uncommon Cards LatestPrint Unique NotABG MajorEmpire AbilityCrew artDarrylElliott Krebiz 
A4 Tranquility (GI)	GI	A4_-_Tranquility_GI	U0		A4	Tranquility		A		4		 	[GI] Uncommon0 Cards LatestPrint Unique NotABG Nonempire AbilityTerrain artAndrewSmith  
A4 Utopia (Pir)	Pir	A4_-_Utopia_Pir	V		A4	Utopia		A		4		 	[Pir] Veryrare Cards LatestPrint Unique NotABG Nonempire AbilityTerrain artSigmundFrye  
A4 Walk The Plank (Pir)	Pir	A4_-_Walk_The_Plank_Pir	V		R/A4	Walk The Plank	R/	A		4		 	[Pir] Veryrare Cards LatestPrint Unique NotABG PropPirate PropDiscard Nonempire AbilityCrew AbilityTerrain AbilityLocation artElvisMcMaad  
A4 War Effort (GI)	GI	A4_-_War_Effort_GI	U0		A4	War Effort		A		4		 	[GI] Uncommon0 Cards LatestPrint Unique NotABG Nonempire PropBoarding AbilityCrew artRobertA.Kraus  
A5 Anarchist (NE)	NE	A5_-_Anarchist_NE	R		A5	Anarchist		A		5		 	[NE] Rare Cards Reprinted Unique NotABG Nonempire AbilityCrew artJohnD.Matson  
A5 Anarchist (UE)	UE	A5_-_Anarchist_UE	R0		A5	Anarchist		A		5		 	[UE] Rare0 Cards LatestPrint Unique NotABG Nonempire AbilityCrew artJohnD.Matson  
A5 Ancient Molting (PE)	PE	A5_-_Ancient_Molting_PE	V1	Errata 	A5	Ancient Molting		A		5		Orgon SpaceDragon 	[PE] Veryrare1 Cards Reprinted Unique NotABG MinorEmpire AbilityDragon artPaulProfHerbert Errata Orgon SpaceDragon 
A5 Ancient Molting (UE)	UE	A5_-_Ancient_Molting_UE	V4	Errata 	A5	Ancient Molting		A		5		Orgon SpaceDragon 	[UE] Veryrare4 Cards LatestPrint Unique NotABG MinorEmpire AbilityDragon artPaulProfHerbert Errata Orgon SpaceDragon 
A5 Aurora Borealis (TG)	TG	A5_-_Aurora_Borealis_TG	R2		A5	Aurora Borealis		A		5		 	[TG] Rare2 Cards Reprinted Unique NotABG PropPlaycard Nonempire AbilityTerrain artMichaelTrapp  
A5 Aurora Borealis (UE)	UE	A5_-_Aurora_Borealis_UE	R0		A5	Aurora Borealis		A		5		 	[UE] Rare0 Cards LatestPrint Unique NotABG PropPlaycard Nonempire AbilityTerrain artMichaelTrapp  
A5 Battle Suit (NE)	NE	A5_-_Battle_Suit_NE	U		A5	Battle Suit		A		5		 	[NE] Uncommon Cards Reprinted Unique NotABG Nonempire PropBoarding AbilityCrew artMarkPoole  
A5 Battle Suit (UE)	UE	A5_-_Battle_Suit_UE	U0		A5	Battle Suit		A		5		 	[UE] Uncommon0 Cards LatestPrint Unique NotABG Nonempire PropBoarding AbilityCrew artMarkPoole  
A5 Blood Clydon (AT)	AT	A5_-_Blood_Clydon_AT	R	Errata 	A5	Blood Clydon		A		5		Clydon 	[AT] Rare Cards LatestPrint Unique NotABG MajorEmpire PropBoarding AbilityCrew artDouglasChaffee Errata Clydon 
A5 Communications Training (Pro)	Pro1	A5_-_Communications_Training_Pro1	Pro1		A5	Communications Training		A		5		 	[Pro1] Cards LatestPrint Unique NotABG PropDrawcard PropTopdeck Nonempire distVenturaMagazine AbilityCrew 01_CommandPoint artMarkPoole  
A5 Corporate Gold Card (Per)	Per	A5_-_Corporate_Gold_Card_Per	U		A5	Corporate Gold Card		A		5		 	[Per] Uncommon Cards LatestPrint Unique NotABG Nonempire AbilityCrew artTheCorporation  
A5 Eclipse Position (GI)	GI	A5_-_Eclipse_Position_GI	V0		A5	Eclipse Position		A		5		 	[GI] Veryrare0 Cards LatestPrint Unique NotABG Nonempire AbilityLocation artArisMultimediaInc.  
A5 Enhanced Robotics (Pro)	Pro5	A5_-_Enhanced_Robotics_Pro5	Pro5		A5	Enhanced Robotics		A		5		BattleBird 	[Pro5] Cards LatestPrint Unique NotABG Nonempire distSilverEagleWargameSupplies artGeorgeT.HenneJr. BattleBird 
A5 Fire Breathing (GI)	GI	A5_-_Fire_Breathing_GI	U0		A5	Fire Breathing		A		5		SpaceDragon 	[GI] Uncommon0 Cards LatestPrint Unique NotABG MinorEmpire AbilityDragon artDavidLeeAnderson SpaceDragon 
A5 Genetic Variant (Per)	Per	A5_-_Genetic_Variant_Per	V		A5	Genetic Variant		A		5		 	[Per] Veryrare Cards LatestPrint Unique NotABG Nonempire AbilityMonster artRandyAsplund-Faith  
A5 Greater Automaton (PE)	PE	A5_-_Greater_Automaton_PE	V2		A5	Greater Automaton		A		5		 	[PE] Veryrare2 Cards Reprinted Unique NotABG Nonempire Automaton AbilityCrew artClineA.Siegenthaler  
